video_id,collected_at,views,likes,comment_count
fjHXlmN__Ck,2026-03-16 12:56:49,2593,134,12
nMWaLV_CI0U,2026-03-16 12:56:49,3156,393,66
XxlnptgIYzI,2026-03-16 12:56:49,1475,45,6
kq_ey9pCH84,2026-03-16 12:56:49,1317,82,10
teQxDShzdik,2026-03-16 12:56:49,661,9,1
qJMpWWFI6ks,2026-03-16 12:56:49,278,7,0
FJrAz_mQ7FA,2026-03-16 12:56:49,279,8,0
iyyq_tTrUqM,2026-03-16 12:56:49,485,22,0
jsEmUxPcTYI,2026-03-16 12:56:49,503,21,3
f3wi5fBoMsM,2026-03-16 12:56:49,11154,348,12
kHcVC6hNl3w,2026-03-16 12:56:49,18143,413,11
nbCXX8M373Y,2026-03-16 12:56:49,13227,519,13
QyEyOq-Ewxo,2026-03-16 12:56:49,15386,495,9
HSONCaBNOSk,2026-03-16 12:56:49,12909,393,12
